time,acceleration_x,acceleration_y,acceleration_z
00:00.0,-0.169,0.785,-0.651
00:00.1,-0.2,0.754,-0.587
00:00.1,-0.2,0.785,-0.619
00:00.2,-0.2,0.754,-0.651
00:00.2,-0.2,0.754,-0.651
00:00.3,-0.2,0.785,-0.587
00:00.3,-0.2,0.785,-0.619
00:00.4,-0.169,0.785,-0.619
00:00.5,-0.2,0.785,-0.651
00:00.5,-0.2,0.754,-0.651
00:00.6,-0.2,0.754,-0.619
00:00.6,-0.2,0.754,-0.619
00:00.7,-0.2,0.754,-0.651
00:00.7,-0.2,0.754,-0.619
00:00.8,-0.2,0.754,-0.619
00:00.8,-0.2,0.754,-0.651
00:00.9,-0.2,0.785,-0.651
00:00.9,-0.2,0.754,-0.619
00:01.0,-0.169,0.754,-0.619
00:01.0,-0.169,0.785,-0.619
00:01.1,-0.2,0.754,-0.619
00:01.1,-0.169,0.754,-0.619
00:01.2,-0.2,0.785,-0.651
00:01.2,-0.2,0.785,-0.651
00:01.3,-0.169,0.785,-0.619
00:01.3,-0.2,0.754,-0.651
00:01.4,-0.2,0.785,-0.619
00:01.4,-0.2,0.754,-0.651
00:01.5,-0.2,0.754,-0.619
00:01.5,-0.169,0.785,-0.619
00:01.6,-0.169,0.754,-0.651
00:01.6,-0.169,0.785,-0.619
00:01.7,-0.2,0.785,-0.651
00:01.7,-0.169,0.785,-0.619
00:01.8,-0.2,0.754,-0.651
00:01.8,-0.2,0.754,-0.651
00:01.9,-0.169,0.785,-0.651
00:01.9,-0.169,0.785,-0.651
00:02.0,-0.2,0.785,-0.651
00:02.0,-0.2,0.754,-0.651
00:02.1,-0.169,0.785,-0.651
00:02.1,-0.169,0.754,-0.619
00:02.2,-0.2,0.785,-0.619
00:02.2,-0.2,0.754,-0.651
00:02.3,-0.169,0.785,-0.651
00:02.3,-0.169,0.785,-0.619
00:02.4,-0.169,0.785,-0.651
00:02.4,-0.169,0.785,-0.651
00:02.5,-0.2,0.785,-0.651
00:02.5,-0.2,0.754,-0.651
00:02.6,-0.2,0.754,-0.651
00:02.6,-0.2,0.754,-0.651
00:02.7,-0.2,0.754,-0.619
00:02.7,-0.2,0.754,-0.619
00:02.8,-0.2,0.785,-0.651
00:02.8,-0.169,0.785,-0.619
00:02.9,-0.2,0.754,-0.619
00:02.9,-0.2,0.754,-0.651
00:03.0,-0.2,0.785,-0.619
00:03.0,-0.2,0.754,-0.651
00:03.1,-0.2,0.754,-0.619
00:03.1,-0.2,0.785,-0.651
00:03.2,-0.2,0.785,-0.619
00:03.2,-0.2,0.785,-0.619
00:03.3,-0.2,0.754,-0.619
00:03.3,-0.169,0.754,-0.651
00:03.4,-0.2,0.754,-0.619
00:03.4,-0.2,0.785,-0.651
00:03.5,-0.2,0.785,-0.619
00:03.5,-0.2,0.754,-0.651
00:03.6,-0.2,0.754,-0.651
00:03.6,-0.2,0.754,-0.651
00:03.7,-0.169,0.785,-0.651
00:03.8,-0.2,0.785,-0.651
00:03.8,-0.2,0.754,-0.619
00:03.9,-0.2,0.785,-0.651
00:03.9,-0.2,0.785,-0.619
00:04.0,-0.2,0.785,-0.651
00:04.0,-0.2,0.754,-0.651
00:04.1,-0.2,0.754,-0.619
00:04.1,-0.2,0.785,-0.619
00:04.2,-0.2,0.785,-0.619
00:04.2,-0.169,0.754,-0.651
00:04.3,-0.2,0.754,-0.651
00:04.3,-0.2,0.754,-0.651
00:04.4,-0.2,0.754,-0.619
00:04.4,-0.2,0.754,-0.651
00:04.5,-0.2,0.785,-0.651
00:04.5,-0.2,0.754,-0.619
00:04.6,-0.2,0.754,-0.619
00:04.6,-0.2,0.754,-0.619
00:04.7,-0.169,0.785,-0.651
00:04.7,-0.2,0.754,-0.651
00:04.8,-0.169,0.785,-0.651
00:04.8,-0.2,0.754,-0.619
00:04.9,-0.2,0.785,-0.651
00:04.9,-0.169,0.785,-0.619
00:05.0,-0.2,0.754,-0.619
00:05.0,-0.2,0.754,-0.651
00:05.1,-0.2,0.785,-0.651
